id,variable,csv_field,source,source_period,source_geography,component,in_download,prior_local_status,r2_status
1,"Landsat annual greenness, reported 10-year average",avg10yr_landsat_fsa2019,CANUE,2009–2019,postal code,Adaptive capacity,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
2,"Noise, reported 10-year average",avg10yr_noiselvl2019,CANUE,2009–2019,postal code,Adaptive capacity,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
3,Building density within 100 m,avg2019_buil_dense_100m,CANUE,2019,postal code,Adaptive capacity,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
4,Facility density within 1000 m,avg2019_facility_richness,CANUE,2019,postal code,Adaptive capacity,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
5,Employment access,avg2019_prox.emp,CANUE,2019,postal code,Adaptive capacity,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
6,Health facility proximity,avg2019_prox_health,CANUE,2019,postal code,Adaptive capacity,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
7,Public park proximity,avg2019_prox_park,CANUE,2019,postal code,Adaptive capacity,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
8,CANBICS bikeability,avg2021_canbics_index,CANUE,2021,postal code,Adaptive capacity,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
9,Total community gaming grants,total_gaming_grant_2022,BC Government,2022,electoral district,Adaptive capacity,yes,Original electoral-district grants not found in searched locations,Not verified
10,Average community gaming grant,avg_gaming_grant_2022,BC Government,2022,electoral district,Adaptive capacity,yes,Original electoral-district grants not found in searched locations,Not verified
11,Median personal income,median_person_income,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
12,Median household income,median_household_income,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
13,Average household size,avg_household_size,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
14,Residents living alone,num_living_alone,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
15,Single residents,num_single_ppl,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
16,"Gini index, adjusted household income",gini_household,StatCan,2021 (2020 income),DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
17,Median employment income,,StatCan,2021,DA,Adaptive capacity,no,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
18,Median household after-tax income,,StatCan,2021 (2020 income),DA,Adaptive capacity,no,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
19,Private dwellings percentage,,StatCan,2021,DA,Adaptive capacity,no,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
20,Low-income measure percentage,low_income_percent,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
21,Population,population,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
22,Population density,pop_density,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
23,Shelter-cost-to-income ratio,excess_rent,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
24,English speakers,num_eng_speakers,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
25,Indigenous residents,num_indigenous,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
26,Non-Indigenous residents,num_non_indigenous,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
27,Rooms per dwelling,avg_room_dwelling,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
28,Non-immigrants,num_non_immig,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
29,Non-minority residents,num_non_minority,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
30,Non-movers over one year,num_non_1yr_mover,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
31,High school education,num_hs_edu,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
32,Postsecondary education,num_postsecond,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
33,Employed residents,num_employed,StatCan,2021,DA,Adaptive capacity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
34,"PM2.5, 10-year average",pm25_fsa_avg10yr_2020,CANUE,2011–2020,postal code,Exposure,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
35,"Land temperature, 3-year average",avg3yr_landtemp_2021,CANUE,2019–2021,postal code,Exposure,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
36,"Annual maximum temperature, 10-year average",,CANUE,2011–2020,postal code,Exposure,no,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
37,"Annual precipitation, 10-year average",avg10yr_annual_precipitation,CANUE,2011–2020,postal code,Exposure,yes,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue
38,Extreme heat event count,total_heat,ECCC,2009–2022,weather station,Exposure,yes,Original station-level event count dataset not found; related climate data exist,Related BC climate data live; original heat event dataset not verified
39,Projected 2020s summer temperature change,2020s_summer_tmean_change,PCIC,2018 release,weather station,Exposure,yes,Related climate projection output present; exact 2018 station-based changes not found,Related BC climate manifest HTTP 200; exact CVI input not verified
40,Projected 2050s summer temperature change,2050s_summer_tmean_change,PCIC,2018 release,weather station,Exposure,yes,Related climate projection output present; exact 2018 station-based changes not found,Related BC climate manifest HTTP 200; exact CVI input not verified
41,Median age,median_age,StatCan,2021,DA,Sensitivity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
42,Average age,mean_age,StatCan,2021,DA,Sensitivity,yes,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified
43,"Projected median age change, 2023–2046",median_age_chgn,BC Stats,2022 release,LHA,Sensitivity,yes,Exact 2022 projection release/change table not found,Not verified
44,"Projected population change, 2023–2046",pop_chng,BC Stats,2022 release,LHA,Sensitivity,yes,Exact 2022 projection release/change table not found,Not verified
45,Vulnerability Communication Kindergarten,Vulnerability_Communication_Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
46,Vulnerability Emotional Kindergarten,Vulnerability_Emotional_Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
47,Vulnerability Cognitive Kindergarten,Vulnerability_Cognitive_Kindergarten,BC Community Health Data,2013–2016,LHA,Sensitivity,yes,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified
