catalogueId,field,label,source,period,originalGeography,catalogueComponent,reportComponent,selection,projected,available,reportReference,notes,localStatus,r2Status,candidateDatasets,exactPrimitiveMatch,nextAction,min,max,uniqueValues
1,avg10yr_landsat_fsa2019,"Landsat annual greenness, reported 10-year average",CANUE,2009–2019,postal code,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,2009–2019 spans 11 calendar years inclusive although called a 10-year average. Resolve endpoints and missing years; inspected R2 series omits 2012.,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,grlan_amn,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",0.058,0.595,140
2,avg10yr_noiselvl2019,"Noise, reported 10-year average",CANUE,2009–2019,postal code,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,The 2009–2019 noise period is not covered directly by the inspected R2 series: nhnse_ava ends in 2017 with gaps; nhnse_avb is 2021. Resolve endpoints and noise metric.,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,nhnse_ava; nhnse_avb,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",56.941,67.291,133
3,avg2019_buil_dense_100m,Building density within 100 m,CANUE,2019,postal code,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,nhbld_ava,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",0.0,0.471,135
4,avg2019_facility_richness,Facility density within 1000 m,CANUE,2019,postal code,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Website catalogue says facility richness; report Table 1 says facility density/index at 1000 m. Confirm the field and buffer.,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,nhfac_ava,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",0.0,0.058,23
5,avg2019_prox.emp,Employment access,CANUE,2019,postal code,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,nhpmd_ann,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",0.0,0.557,97
6,avg2019_prox_health,Health facility proximity,CANUE,2019,postal code,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,nhpmd_ann,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",0.0,0.191,58
7,avg2019_prox_park,Public park proximity,CANUE,2019,postal code,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,nhpmd_ann,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",0.001,0.188,99
8,avg2021_canbics_index,CANBICS bikeability,CANUE,2021,postal code,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,ZIP archive entries present in Google Drive; processed extracts absent from current checkout; matching original version/field/years not established,Related grid/aggregate catalogues live; representative objects HTTP 200; exact FSA aggregates absent from inspected catalogue,nhbic_ava,False,"Verify CANUE version, variable/buffer, year coverage and postal-to-FSA averaging before rebuilding.",0.0,20.859,173
9,total_gaming_grant_2022,Total community gaming grants,BC Government,2022,electoral district,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,Original electoral-district grants not found in searched locations,Not verified,,False,Acquire the exact source release and document its geographic assignment to FSA.,411960.0,8144725.0,80
10,avg_gaming_grant_2022,Average community gaming grant,BC Government,2022,electoral district,Adaptive capacity,Adaptive capacity,not_selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,Original electoral-district grants not found in searched locations,Not verified,,False,Acquire the exact source release and document its geographic assignment to FSA.,12063.41463,56833.89216,80
11,median_person_income,Median personal income,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",27466.6666666667,54600.0,189
12,median_household_income,Median household income,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,not_selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",53103.7037037037,149040.0,192
13,avg_household_size,Average household size,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",1.43333333333333,3.62424242424242,187
14,num_living_alone,Residents living alone,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",22.3333333333333,366.666666666667,186
15,num_single_ppl,Single residents,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",58.3333333333333,593.333333333333,191
16,gini_household,"Gini index, adjusted household income",StatCan,2021 (2020 income),DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",0.256011627906977,0.543136363636364,191
17,,Median employment income,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,False,Table 1 pp. 5–10; Table 2 pp. 12–13,"Selected in report Table 2, but absent from the downloadable CSV. Do not substitute household or personal income.",2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",,,0
18,,Median household after-tax income,StatCan,2021 (2020 income),DA,Adaptive capacity,Adaptive capacity,not_selected,False,False,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",,,0
19,,Private dwellings percentage,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,False,Table 1 pp. 5–10; Table 2 pp. 12–13,"Selected in report Table 2, but absent from the downloadable CSV. Numerator and denominator need definition.",2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",,,0
20,low_income_percent,Low-income measure percentage,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",4.16923076923077,29.4,192
21,population,Population,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,not_selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,"Excluded from Table 2 PCA, but required for the population-multiplied index; retain the field.",2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",95.3555555555555,1420.68571428571,191
22,pop_density,Population density,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",11.2230769230769,34425.3333333333,192
23,excess_rent,Shelter-cost-to-income ratio,StatCan,2021,DA,Adaptive capacity,Adaptive capacity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,2021 variables present for 135 Prince George DAs; BC DA geometry present; complete province-wide attribute coverage not established,CVI/census attribute publication not verified,,False,"Acquire full BC 2021 attributes and establish the DA-to-FSA crosswalk and aggregation rule; counts, rates and medians need different treatment.",0.0,63.1388888888889,190
